MeasurementDate	metric	metrictype	Agency	numerator	denominator
2015-03-25	TripsPerformed	Dollars	CDR	86.50	86.50
2015-03-30	TripsPerformed	Dollars	MRC	0.00	57.00
2015-03-02	TripsPerformed	Dollars	PVT	619.00	1578.00
2015-05-07	TripsPerformed	Dollars	SR3	130.00	130.00
2014-11-04	TripsPerformed	Dollars	FA1	314.00	314.00
2015-02-16	TripsPerformed	Dollars	MID	47.46	47.46
2015-05-12	TripsPerformed	Dollars	KE3	0.00	207.00
2015-08-06	TripsPerformed	Dollars	SY4	0.00	114.00
2015-01-22	TripsPerformed	Dollars	SE2	90.00	404.00
2014-11-22	TripsPerformed	Dollars	PVT	204.00	265.00
2015-10-13	TripsPerformed	Dollars	KE3	0.00	138.00
2014-12-01	TripsPerformed	Dollars	PR1	57.00	57.00
2014-12-09	TripsPerformed	Dollars	PVT	753.00	798.00
2015-06-04	TripsPerformed	Dollars	SE2	98.00	98.00
2015-05-14	TripsPerformed	Dollars	ND2	49.00	49.00
2014-11-25	TripsPerformed	Dollars	SR3	220.00	220.00
2014-12-24	TripsPerformed	Dollars	PVT	314.00	597.60
2015-02-02	TripsPerformed	Dollars	SE2	195.00	195.00
2015-02-09	TripsPerformed	Dollars	MRC	141.35	141.35
2015-07-06	TripsPerformed	Dollars	CDR	248.00	248.00
2015-03-05	TripsPerformed	Dollars	SR3	106.00	106.00
2015-09-01	TripsPerformed	Dollars	CDR	309.25	384.00
2015-01-29	TripsPerformed	Dollars	LOG	9693.93	10005.35
2015-08-19	TripsPerformed	Dollars	HE6	202.00	202.00
2015-02-16	TripsPerformed	Dollars	MP1	0.00	204.00
2014-11-28	TripsPerformed	Dollars	MID	79.02	79.02
2015-07-02	TripsPerformed	Dollars	CDS	104.50	104.50
2014-10-17	TripsPerformed	Dollars	ND2	90.00	90.00
2014-11-24	TripsPerformed	Dollars	HE6	202.00	202.00
2015-08-18	TripsPerformed	Dollars	CDR	107.50	526.50
2015-11-12	TripsPerformed	Dollars	NB1	0.00	564.00
2015-03-10	TripsPerformed	Dollars	BR7	109.00	109.00
2015-06-23	TripsPerformed	Dollars	LOG	9553.52	10389.23
2015-02-25	TripsPerformed	Dollars	SR1	314.00	314.00
2015-06-25	TripsPerformed	Dollars	TL1	0.00	201.32
2015-08-24	TripsPerformed	Dollars	ND2	204.00	204.00
2015-09-25	TripsPerformed	Dollars	WC1	0.00	306.00
2015-07-02	TripsPerformed	Dollars	MID	10.86	293.11
2015-01-30	TripsPerformed	Dollars	CRA	178.00	178.00
2015-03-15	TripsPerformed	Dollars	LOG	398.75	570.99
2015-08-19	TripsPerformed	Dollars	LOG	7821.63	7846.63
2015-09-07	TripsPerformed	Dollars	SY4	0.00	106.00
2015-06-19	TripsPerformed	Dollars	ND2	212.00	212.00
2015-06-16	TripsPerformed	Dollars	TL1	0.00	100.12
2015-09-22	TripsPerformed	Dollars	SR1	0.00	82.00
2015-09-01	TripsPerformed	Dollars	SE2	302.00	302.00
2015-11-09	TripsPerformed	Dollars	MP1	0.00	539.00
2015-02-12	TripsPerformed	Dollars	PVT	433.00	876.00
2015-02-27	TripsPerformed	Dollars	HE6	210.00	210.00
2014-11-07	TripsPerformed	Dollars	PB1	462.00	462.00
2015-04-13	TripsPerformed	Dollars	PB1	146.00	146.00
2015-06-08	TripsPerformed	Dollars	WC1	57.00	57.00
2014-10-09	TripsPerformed	Dollars	BR7	53.00	53.00
2015-06-20	TripsPerformed	Dollars	KE3	0.00	138.00
2014-11-26	TripsPerformed	Dollars	LOG	204.46	7183.99
2015-05-15	TripsPerformed	Dollars	PR1	0.00	137.00
2014-11-18	TripsPerformed	Dollars	SR3	210.00	210.00
2015-02-09	TripsPerformed	Dollars	MP1	0.00	196.00
2015-04-03	TripsPerformed	Dollars	MR5	0.00	290.00
2015-03-20	TripsPerformed	Dollars	LOG	8887.56	9926.40
2015-07-24	TripsPerformed	Dollars	SY4	106.00	106.00
2014-12-31	TripsPerformed	Dollars	SR3	234.00	234.00
2015-02-23	TripsPerformed	Dollars	MP1	0.00	57.00
2015-10-12	TripsPerformed	Dollars	BR7	0.00	106.00
2015-10-07	TripsPerformed	Dollars	CDR	0.00	943.00
2015-05-04	TripsPerformed	Dollars	LOG	9321.06	10281.57
2015-03-26	TripsPerformed	Dollars	SE2	326.00	640.00
2015-08-30	TripsPerformed	Dollars	MRC	0.00	101.00
2015-10-29	TripsPerformed	Dollars	PVT	419.00	1101.00
2015-11-12	TripsPerformed	Dollars	PVT	112.00	919.00
2015-10-14	TripsPerformed	Dollars	BR3	0.00	186.00
2015-09-16	TripsPerformed	Dollars	PVT	147.00	1242.80
2015-10-02	TripsPerformed	Dollars	WC1	108.80	108.80
2015-09-29	TripsPerformed	Dollars	SR1	0.00	196.00
2015-04-03	TripsPerformed	Dollars	PVT	332.00	1029.65
2015-10-21	TripsPerformed	Dollars	MRC	0.00	89.00
