MeasurementDate	metric	metrictype	Agency	numerator	denominator
2015-06-21	TripsPerformed	Count	PVT	4.00	0.00
2015-05-14	TripsPerformed	Count	LOG	524.00	487.00
2015-09-29	TripsPerformed	Count	MR4	2.00	0.00
2015-10-23	TripsPerformed	Count	SY4	2.00	0.00
2015-02-06	TripsPerformed	Count	LOG	408.00	298.00
2015-11-09	TripsPerformed	Count	ND2	2.00	0.00
2015-03-17	TripsPerformed	Count	SR1	4.00	4.00
2015-11-05	TripsPerformed	Count	CDR	44.00	0.00
2015-02-20	TripsPerformed	Count	LOG	430.00	321.00
2015-08-14	TripsPerformed	Count	CDR	31.00	14.00
2015-06-09	TripsPerformed	Count	KE3	2.00	0.00
2015-11-13	TripsPerformed	Count	LOG	369.00	358.00
2015-08-07	TripsPerformed	Count	SR3	4.00	4.00
2015-03-30	TripsPerformed	Count	MID	8.00	8.00
2015-04-13	TripsPerformed	Count	LOG	427.00	373.00
2015-05-22	TripsPerformed	Count	SR1	2.00	2.00
2015-10-19	TripsPerformed	Count	CDR	39.00	0.00
2015-05-13	TripsPerformed	Count	MP1	2.00	0.00
2014-12-01	TripsPerformed	Count	MR5	2.00	2.00
2015-03-11	TripsPerformed	Count	CDS	41.00	41.00
2015-11-21	TripsPerformed	Count	SR1	2.00	0.00
2015-04-10	TripsPerformed	Count	MP1	2.00	0.00
2015-10-15	TripsPerformed	Count	SR3	4.00	0.00
2015-10-24	TripsPerformed	Count	SE2	4.00	0.00
2015-07-03	TripsPerformed	Count	CDS	2.00	2.00
2015-04-01	TripsPerformed	Count	MID	12.00	12.00
2015-01-29	TripsPerformed	Count	SE2	8.00	8.00
2015-02-09	TripsPerformed	Count	SR1	2.00	2.00
2015-07-24	TripsPerformed	Count	PVT	24.00	12.00
2014-12-18	TripsPerformed	Count	MR5	2.00	2.00
2014-08-21	TripsPerformed	Count	LOG	3.00	3.00
2015-11-15	TripsPerformed	Count	LOG	26.00	26.00
2014-11-07	TripsPerformed	Count	PR1	1.00	1.00
2015-04-22	TripsPerformed	Count	SE2	1.00	1.00
2015-09-16	TripsPerformed	Count	CDR	32.00	10.00
2015-06-08	TripsPerformed	Count	CDR	32.00	32.00
2015-04-11	TripsPerformed	Count	LOG	73.00	72.00
2015-02-02	TripsPerformed	Count	BR3	2.00	2.00
2015-02-08	TripsPerformed	Count	PVT	5.00	1.00
2015-06-02	TripsPerformed	Count	LOG	524.00	169.00
2015-10-26	TripsPerformed	Count	BR3	2.00	0.00
2014-12-01	TripsPerformed	Count	LOG	340.00	302.00
2015-03-30	TripsPerformed	Count	MR5	2.00	2.00
2015-09-09	TripsPerformed	Count	SR3	2.00	0.00
2015-07-01	TripsPerformed	Count	PVT	20.00	13.00
2015-02-12	TripsPerformed	Count	CRA	2.00	2.00
2015-03-27	TripsPerformed	Count	SS1	2.00	0.00
2014-10-20	TripsPerformed	Count	PVT	12.00	10.00
2015-09-01	TripsPerformed	Count	LOG	474.00	466.00
2015-08-11	TripsPerformed	Count	ND2	4.00	4.00
2015-10-23	TripsPerformed	Count	PVT	16.00	5.00
2015-11-05	TripsPerformed	Count	MP1	4.00	0.00
2015-09-03	TripsPerformed	Count	CDS	7.00	5.00
2015-08-01	TripsPerformed	Count	PVT	13.00	4.00
2015-10-15	TripsPerformed	Count	SE2	2.00	0.00
2015-04-09	TripsPerformed	Count	MID	14.00	14.00
2015-07-15	TripsPerformed	Count	PVT	19.00	12.00
2015-03-02	TripsPerformed	Count	CDS	33.00	33.00
2015-05-28	TripsPerformed	Count	CDR	34.00	34.00
2015-01-20	TripsPerformed	Count	SE2	4.00	4.00
2015-04-23	TripsPerformed	Count	PVT	18.00	12.00
2015-10-01	TripsPerformed	Count	SE2	2.00	0.00
2015-11-04	TripsPerformed	Count	ND2	2.00	0.00
2015-08-17	TripsPerformed	Count	LOG	410.00	403.00
2015-03-18	TripsPerformed	Count	CDS	43.00	43.00
2015-10-17	TripsPerformed	Count	SE2	2.00	0.00
2014-10-28	TripsPerformed	Count	SE2	2.00	2.00
2014-12-01	TripsPerformed	Count	BR7	4.00	4.00
2014-12-02	TripsPerformed	Count	ND2	2.00	2.00
2015-03-11	TripsPerformed	Count	SY4	4.00	0.00
2014-12-29	TripsPerformed	Count	KE3	2.00	0.00
2015-02-27	TripsPerformed	Count	LOG	461.00	417.00
2014-11-22	TripsPerformed	Count	LOG	89.00	19.00
2015-10-05	TripsPerformed	Count	BR3	2.00	0.00
2014-10-22	TripsPerformed	Count	MID	27.00	27.00
2015-05-13	TripsPerformed	Count	CDR	45.00	45.00
2015-11-25	TripsPerformed	Count	LOG	332.00	0.00
2015-11-24	TripsPerformed	Count	WC1	2.00	0.00
2015-03-16	TripsPerformed	Count	LOG	455.00	399.00
2015-04-03	TripsPerformed	Count	SR3	4.00	4.00
2015-01-19	TripsPerformed	Count	SS1	2.00	2.00
2015-01-19	TripsPerformed	Count	SR1	2.00	2.00
2014-12-10	TripsPerformed	Count	SR3	4.00	4.00
2015-03-04	TripsPerformed	Count	MID	14.00	14.00
2015-03-18	TripsPerformed	Count	LOG	450.00	397.00
2015-10-06	TripsPerformed	Count	CDS	6.00	0.00
2015-05-18	TripsPerformed	Count	MRC	2.00	2.00
2015-03-02	TripsPerformed	Count	FA1	2.00	2.00
2015-08-17	TripsPerformed	Count	PVT	11.00	5.00
2015-04-06	TripsPerformed	Count	MR5	2.00	0.00
2015-05-26	TripsPerformed	Count	MR4	1.00	0.00
2015-05-26	TripsPerformed	Count	PVT	26.00	1.00
2015-04-27	TripsPerformed	Count	KE3	2.00	0.00
2014-10-31	TripsPerformed	Count	HL1	1.00	1.00
2015-11-17	TripsPerformed	Count	SE2	2.00	0.00
2015-10-31	TripsPerformed	Count	SE2	4.00	0.00
2015-09-14	TripsPerformed	Count	SE2	3.00	3.00
2014-10-29	TripsPerformed	Count	BR7	2.00	2.00
2015-02-12	TripsPerformed	Count	MP1	1.00	0.00
2015-06-28	TripsPerformed	Count	LOG	97.00	96.00
2015-10-31	TripsPerformed	Count	MRC	1.00	0.00
2015-05-28	TripsPerformed	Count	MID	17.00	17.00
2015-01-20	TripsPerformed	Count	BR7	2.00	2.00
2015-04-24	TripsPerformed	Count	CDR	5.00	5.00
2014-10-14	TripsPerformed	Count	MRC	1.00	1.00
2014-11-21	TripsPerformed	Count	SR3	6.00	6.00
2014-10-03	TripsPerformed	Count	LOG	275.00	0.00
2014-10-30	TripsPerformed	Count	ND2	2.00	2.00
2015-03-24	TripsPerformed	Count	CDR	8.00	8.00
2015-10-16	TripsPerformed	Count	ND2	2.00	2.00
2015-06-14	TripsPerformed	Count	PVT	1.00	0.00
2015-02-12	TripsPerformed	Count	SR3	4.00	2.00
2014-12-11	TripsPerformed	Count	MID	3.00	3.00
2015-11-21	TripsPerformed	Count	MP1	2.00	0.00
2014-10-22	TripsPerformed	Count	MR5	1.00	1.00
2015-11-02	TripsPerformed	Count	ND2	2.00	0.00
2014-10-21	TripsPerformed	Count	SR3	4.00	4.00
2015-10-19	TripsPerformed	Count	MP1	2.00	0.00
2015-08-17	TripsPerformed	Count	CDS	2.00	0.00
2015-11-12	TripsPerformed	Count	CDR	47.00	0.00
2015-07-20	TripsPerformed	Count	PB1	2.00	0.00
2015-07-15	TripsPerformed	Count	HE6	2.00	2.00
2015-09-22	TripsPerformed	Count	MR4	2.00	0.00
2015-06-28	TripsPerformed	Count	PVT	2.00	2.00
2015-02-13	TripsPerformed	Count	CDS	17.00	17.00
2015-04-06	TripsPerformed	Count	PVT	12.00	6.00
2014-12-03	TripsPerformed	Count	HL1	1.00	1.00
2015-04-22	TripsPerformed	Count	SR3	2.00	0.00
2015-07-29	TripsPerformed	Count	LOG	503.00	500.00
2015-05-21	TripsPerformed	Count	CDY	4.00	4.00
2015-10-12	TripsPerformed	Count	CDR	2.00	0.00
2015-05-15	TripsPerformed	Count	SR1	2.00	2.00
2015-05-15	TripsPerformed	Count	SS1	2.00	2.00
2015-03-31	TripsPerformed	Count	CDR	9.00	9.00
2015-08-06	TripsPerformed	Count	SR3	4.00	4.00
2015-09-26	TripsPerformed	Count	LOG	58.00	54.00
2015-04-27	TripsPerformed	Count	CDS	32.00	32.00
2015-05-18	TripsPerformed	Count	MID	21.00	21.00
2015-05-14	TripsPerformed	Count	HE6	2.00	2.00
2015-04-20	TripsPerformed	Count	SY4	2.00	2.00
2015-07-23	TripsPerformed	Count	SR3	2.00	2.00
2014-10-04	TripsPerformed	Count	MRC	1.00	1.00
2015-10-28	TripsPerformed	Count	MP1	2.00	0.00
2015-08-09	TripsPerformed	Count	PVT	3.00	3.00
2015-09-28	TripsPerformed	Count	LOG	413.00	394.00
2015-06-04	TripsPerformed	Count	MR4	2.00	2.00
2014-10-12	TripsPerformed	Count	LOG	65.00	0.00
2015-03-19	TripsPerformed	Count	SE2	4.00	2.00
2015-06-04	TripsPerformed	Count	PVT	17.00	6.00
2015-04-27	TripsPerformed	Count	LOG	444.00	402.00
2015-04-22	TripsPerformed	Count	BR7	2.00	2.00
2015-06-23	TripsPerformed	Count	PB1	2.00	2.00
2015-11-02	TripsPerformed	Count	CDR	40.00	0.00
2014-10-31	TripsPerformed	Count	MR5	1.00	1.00
2014-12-15	TripsPerformed	Count	HE6	2.00	2.00
2015-03-27	TripsPerformed	Count	PVT	17.00	9.00
2015-10-01	TripsPerformed	Count	PB1	4.00	0.00
2015-05-22	TripsPerformed	Count	SS1	2.00	0.00
2014-11-25	TripsPerformed	Count	MRC	1.00	1.00
2015-11-19	TripsPerformed	Count	PVT	17.00	0.00
2015-08-28	TripsPerformed	Count	PVT	11.00	8.00
2015-04-10	TripsPerformed	Count	LOG	409.00	383.00
2014-12-17	TripsPerformed	Count	PVT	10.00	9.00
2015-04-15	TripsPerformed	Count	MID	20.00	20.00
2015-04-29	TripsPerformed	Count	LOG	508.00	452.00
2015-06-22	TripsPerformed	Count	WC1	1.00	1.00
2015-09-25	TripsPerformed	Count	SR3	2.00	0.00
2015-05-16	TripsPerformed	Count	LOG	97.00	93.00
2015-10-07	TripsPerformed	Count	SE2	4.00	0.00
2015-07-13	TripsPerformed	Count	SS1	2.00	0.00
2015-11-17	TripsPerformed	Count	CDS	10.00	0.00
2015-06-09	TripsPerformed	Count	SY4	2.00	2.00
2015-08-03	TripsPerformed	Count	ND2	4.00	2.00
2015-03-29	TripsPerformed	Count	PVT	4.00	1.00
2015-01-08	TripsPerformed	Count	PB1	2.00	2.00
2015-10-29	TripsPerformed	Count	LOG	438.00	434.00
2015-10-09	TripsPerformed	Count	SE2	2.00	0.00
2015-01-09	TripsPerformed	Count	SS1	2.00	0.00
2015-01-05	TripsPerformed	Count	PVT	9.00	5.00
2015-02-10	TripsPerformed	Count	PB1	2.00	2.00
2015-05-22	TripsPerformed	Count	CDR	39.00	39.00
2014-12-15	TripsPerformed	Count	LOG	376.00	350.00
2015-02-04	TripsPerformed	Count	MP1	1.00	0.00
2014-11-19	TripsPerformed	Count	SY4	2.00	2.00
2014-10-31	TripsPerformed	Count	MID	5.00	5.00
2015-05-04	TripsPerformed	Count	PB1	2.00	0.00
2014-12-23	TripsPerformed	Count	SR1	2.00	0.00
2015-02-22	TripsPerformed	Count	LOG	44.00	40.00
2015-05-29	TripsPerformed	Count	MP1	4.00	0.00
2015-02-05	TripsPerformed	Count	LOG	392.00	370.00
2014-10-28	TripsPerformed	Count	PVT	4.00	2.00
2015-07-25	TripsPerformed	Count	SK2	2.00	2.00
2015-06-18	TripsPerformed	Count	MR5	2.00	2.00
2014-11-14	TripsPerformed	Count	LOG	372.00	27.00
2015-07-16	TripsPerformed	Count	SE2	3.00	3.00
2015-05-30	TripsPerformed	Count	LOG	95.00	83.00
2015-08-13	TripsPerformed	Count	CDR	26.00	10.00
2015-11-16	TripsPerformed	Count	MP1	3.00	0.00
2015-10-17	TripsPerformed	Count	PVT	7.00	5.00
2014-10-08	TripsPerformed	Count	MP1	2.00	0.00
2015-10-14	TripsPerformed	Count	PVT	18.00	10.00
2014-11-30	TripsPerformed	Count	LOG	69.00	5.00
2015-04-14	TripsPerformed	Count	SR3	6.00	6.00
2015-04-23	TripsPerformed	Count	SE2	2.00	2.00
2015-07-15	TripsPerformed	Count	SE2	1.00	1.00
2015-03-12	TripsPerformed	Count	CR5	2.00	0.00
2015-07-06	TripsPerformed	Count	SR3	2.00	2.00
2015-01-07	TripsPerformed	Count	MID	13.00	13.00
2015-07-11	TripsPerformed	Count	KE3	2.00	0.00
2015-03-23	TripsPerformed	Count	SE2	7.00	3.00
2015-07-01	TripsPerformed	Count	SE2	4.00	4.00
2014-10-30	TripsPerformed	Count	PVT	12.00	10.00
2015-03-02	TripsPerformed	Count	MRC	4.00	1.00
2014-11-08	TripsPerformed	Count	PR1	2.00	2.00
2015-11-02	TripsPerformed	Count	PVT	15.00	2.00
2015-09-25	TripsPerformed	Count	LOG	393.00	369.00
2015-03-30	TripsPerformed	Count	CDR	9.00	9.00
2015-04-07	TripsPerformed	Count	CDY	4.00	4.00
2014-10-09	TripsPerformed	Count	LOG	406.00	14.00
2014-10-16	TripsPerformed	Count	VA1	1.00	0.00
2015-03-06	TripsPerformed	Count	FE4	2.00	0.00
2015-04-21	TripsPerformed	Count	NB1	1.00	1.00
2015-09-02	TripsPerformed	Count	FE4	2.00	0.00
2015-05-20	TripsPerformed	Count	PB1	2.00	2.00
2015-06-25	TripsPerformed	Count	SY4	2.00	2.00
2015-09-21	TripsPerformed	Count	ND2	2.00	2.00
2015-05-20	TripsPerformed	Count	MR4	2.00	0.00
2015-01-14	TripsPerformed	Count	TL1	1.00	0.00
2015-05-20	TripsPerformed	Count	PVT	16.00	4.00
2015-08-05	TripsPerformed	Count	MP1	2.00	0.00
2015-09-08	TripsPerformed	Count	SR3	2.00	2.00
2015-08-13	TripsPerformed	Count	KE3	2.00	2.00
2015-02-03	TripsPerformed	Count	CRA	2.00	2.00
2015-07-04	TripsPerformed	Count	LOG	88.00	79.00
2015-03-12	TripsPerformed	Count	PVT	20.00	13.00
2015-09-03	TripsPerformed	Count	SE2	8.00	8.00
2015-05-22	TripsPerformed	Count	KE3	2.00	0.00
2015-02-20	TripsPerformed	Count	MP1	2.00	0.00
2015-03-31	TripsPerformed	Count	MID	13.00	12.00
2015-02-28	TripsPerformed	Count	KE3	2.00	0.00
2015-07-09	TripsPerformed	Count	MID	6.00	0.00
2014-11-20	TripsPerformed	Count	KE3	2.00	0.00
2014-10-28	TripsPerformed	Count	CR5	1.00	1.00
2015-01-16	TripsPerformed	Count	LE2	5.00	0.00
2015-09-13	TripsPerformed	Count	PVT	2.00	0.00
2015-11-14	TripsPerformed	Count	LOG	45.00	40.00
2014-10-27	TripsPerformed	Count	SR3	4.00	4.00
2015-09-17	TripsPerformed	Count	SG2	2.00	0.00
2015-09-30	TripsPerformed	Count	PVT	18.00	7.00
2015-11-23	TripsPerformed	Count	KE3	2.00	0.00
2014-11-12	TripsPerformed	Count	FA1	2.00	0.00
2015-03-23	TripsPerformed	Count	BR3	2.00	2.00
2015-10-13	TripsPerformed	Count	MP1	1.00	0.00
2015-08-06	TripsPerformed	Count	CDS	7.00	6.00
2015-02-19	TripsPerformed	Count	LOG	268.00	259.00
2015-07-22	TripsPerformed	Count	MP1	2.00	0.00
2015-08-24	TripsPerformed	Count	BR3	2.00	0.00
2015-04-28	TripsPerformed	Count	SR3	4.00	0.00
2015-02-27	TripsPerformed	Count	SR1	2.00	2.00
2014-11-13	TripsPerformed	Count	LOG	393.00	9.00
2015-08-29	TripsPerformed	Count	KE3	2.00	2.00
2015-05-30	TripsPerformed	Count	MP1	1.00	0.00
2015-01-13	TripsPerformed	Count	SE2	4.00	4.00
2014-10-13	TripsPerformed	Count	MID	1.00	1.00
2015-09-09	TripsPerformed	Count	BR3	2.00	0.00
2015-10-30	TripsPerformed	Count	LOG	352.00	347.00
2015-05-04	TripsPerformed	Count	CDR	43.00	43.00
2014-12-01	TripsPerformed	Count	SR3	11.00	11.00
2015-04-14	TripsPerformed	Count	MID	17.00	17.00
2015-03-16	TripsPerformed	Count	KE3	2.00	2.00
2015-03-20	TripsPerformed	Count	SE2	4.00	2.00
2015-03-11	TripsPerformed	Count	SR3	2.00	2.00
2014-12-13	TripsPerformed	Count	LE2	2.00	0.00
2015-06-02	TripsPerformed	Count	SR3	4.00	2.00
2015-11-21	TripsPerformed	Count	PB1	2.00	0.00
2015-10-29	TripsPerformed	Count	MP1	2.00	0.00
2015-10-22	TripsPerformed	Count	MRC	1.00	0.00
2015-04-16	TripsPerformed	Count	MID	18.00	18.00
2015-02-23	TripsPerformed	Count	CDS	31.00	31.00
2015-05-21	TripsPerformed	Count	CDR	31.00	31.00
2015-08-08	TripsPerformed	Count	LOG	76.00	72.00
2015-07-25	TripsPerformed	Count	PVT	21.00	7.00
2015-11-16	TripsPerformed	Count	LOG	411.00	403.00
2015-05-17	TripsPerformed	Count	LOG	39.00	25.00
2015-08-22	TripsPerformed	Count	LE2	1.00	0.00
2015-08-25	TripsPerformed	Count	LOG	362.00	360.00
2015-11-16	TripsPerformed	Count	PVT	27.00	0.00
2014-12-14	TripsPerformed	Count	LOG	61.00	61.00
2015-02-27	TripsPerformed	Count	CDR	6.00	6.00
2015-11-24	TripsPerformed	Count	SS1	4.00	0.00
2015-09-14	TripsPerformed	Count	CDR	28.00	11.00
2015-07-06	TripsPerformed	Count	CDS	6.00	6.00
2014-10-15	TripsPerformed	Count	PVT	8.00	8.00
2014-11-19	TripsPerformed	Count	SK2	2.00	2.00
2014-12-02	TripsPerformed	Count	MID	17.00	17.00
2014-11-07	TripsPerformed	Count	SE2	4.00	4.00
2014-10-29	TripsPerformed	Count	SR3	4.00	4.00
2015-10-28	TripsPerformed	Count	CDS	7.00	0.00
2014-10-30	TripsPerformed	Count	CR5	4.00	4.00
2015-02-06	TripsPerformed	Count	PVT	21.00	4.00
2015-03-09	TripsPerformed	Count	LOG	443.00	369.00
2015-02-23	TripsPerformed	Count	PVT	11.00	3.00
2015-05-22	TripsPerformed	Count	PB1	2.00	2.00
2015-04-06	TripsPerformed	Count	MRC	1.00	0.00
2015-09-22	TripsPerformed	Count	BR7	2.00	2.00
2014-12-16	TripsPerformed	Count	LOG	382.00	360.00
2015-02-06	TripsPerformed	Count	MID	10.00	10.00
2015-08-17	TripsPerformed	Count	SE2	2.00	2.00
2015-07-02	TripsPerformed	Count	WS3	1.00	0.00
2015-01-15	TripsPerformed	Count	SE2	2.00	2.00
2015-04-13	TripsPerformed	Count	SR3	2.00	2.00
2015-08-13	TripsPerformed	Count	PB1	2.00	2.00
2015-05-06	TripsPerformed	Count	SR1	4.00	2.00
2015-09-07	TripsPerformed	Count	BR3	2.00	0.00
2015-03-28	TripsPerformed	Count	LOG	82.00	57.00
2014-10-21	TripsPerformed	Count	ND2	4.00	4.00
2015-05-19	TripsPerformed	Count	PVT	18.00	2.00
2015-02-25	TripsPerformed	Count	MID	12.00	12.00
2015-09-05	TripsPerformed	Count	SE2	2.00	2.00
2015-07-20	TripsPerformed	Count	CDS	10.00	10.00
2015-08-07	TripsPerformed	Count	BR3	2.00	0.00
2015-09-27	TripsPerformed	Count	LOG	24.00	19.00
2015-04-01	TripsPerformed	Count	CDR	7.00	7.00
2015-08-19	TripsPerformed	Count	SE2	10.00	8.00
2015-11-05	TripsPerformed	Count	SR1	2.00	0.00
2015-05-07	TripsPerformed	Count	KE3	2.00	0.00
2015-06-19	TripsPerformed	Count	PVT	16.00	6.00
2014-10-25	TripsPerformed	Count	LOG	94.00	4.00
2015-10-27	TripsPerformed	Count	MP1	2.00	0.00
2015-09-27	TripsPerformed	Count	PVT	3.00	3.00
2015-09-17	TripsPerformed	Count	PB1	2.00	0.00
2015-06-10	TripsPerformed	Count	SR1	2.00	2.00
2015-10-13	TripsPerformed	Count	LOG	436.00	418.00
2014-12-15	TripsPerformed	Count	SR3	8.00	8.00
2014-12-18	TripsPerformed	Count	PVT	13.00	11.00
2015-07-17	TripsPerformed	Count	TL1	2.00	0.00
2014-11-28	TripsPerformed	Count	SR3	3.00	3.00
2015-03-09	TripsPerformed	Count	FAC	2.00	0.00
2015-09-15	TripsPerformed	Count	CDS	8.00	5.00
2014-12-21	TripsPerformed	Count	LOG	118.00	109.00
2015-03-07	TripsPerformed	Count	SY4	4.00	0.00
2015-11-23	TripsPerformed	Count	PVT	17.00	0.00
2015-10-22	TripsPerformed	Count	SR1	2.00	0.00
2015-05-22	TripsPerformed	Count	MID	24.00	24.00
2015-08-03	TripsPerformed	Count	CDS	6.00	4.00
2015-09-11	TripsPerformed	Count	ND2	2.00	2.00
2014-11-26	TripsPerformed	Count	PR1	1.00	0.00
2015-08-05	TripsPerformed	Count	CDS	12.00	10.00
2015-10-01	TripsPerformed	Count	CDS	7.00	0.00
2015-05-13	TripsPerformed	Count	SE2	6.00	6.00
2014-11-10	TripsPerformed	Count	LOG	464.00	23.00
2015-01-01	TripsPerformed	Count	MID	1.00	1.00
2015-07-18	TripsPerformed	Count	SG2	2.00	2.00
2015-10-27	TripsPerformed	Count	MR5	2.00	2.00
2015-07-08	TripsPerformed	Count	PB1	1.00	1.00
2015-02-13	TripsPerformed	Count	MID	9.00	9.00
2015-08-03	TripsPerformed	Count	LOG	439.00	434.00
2015-05-21	TripsPerformed	Count	MR4	2.00	0.00
2015-03-04	TripsPerformed	Count	HE6	2.00	2.00
2015-08-07	TripsPerformed	Count	SE2	1.00	1.00
2015-06-21	TripsPerformed	Count	LOG	50.00	47.00
2015-11-13	TripsPerformed	Count	CDS	9.00	0.00
2014-11-03	TripsPerformed	Count	TL1	2.00	0.00
2015-02-24	TripsPerformed	Count	CDR	9.00	9.00
2014-10-24	TripsPerformed	Count	FAC	1.00	0.00
2014-12-06	TripsPerformed	Count	PVT	3.00	2.00
2015-03-06	TripsPerformed	Count	CDS	31.00	31.00
2014-10-31	TripsPerformed	Count	SR3	8.00	8.00
2015-04-22	TripsPerformed	Count	CDR	5.00	5.00
2014-10-10	TripsPerformed	Count	PVT	5.00	5.00
2015-04-13	TripsPerformed	Count	MID	10.00	10.00
2015-07-27	TripsPerformed	Count	LOG	354.00	187.00
2014-10-24	TripsPerformed	Count	PVT	12.00	9.00
2015-10-26	TripsPerformed	Count	MP1	4.00	0.00
2015-03-10	TripsPerformed	Count	CDR	4.00	4.00
2015-07-22	TripsPerformed	Count	MID	1.00	0.00
2015-05-01	TripsPerformed	Count	CDR	32.00	32.00
2015-10-05	TripsPerformed	Count	CDR	37.00	0.00
2015-06-09	TripsPerformed	Count	BR7	2.00	0.00
2015-05-04	TripsPerformed	Count	SE2	6.00	6.00
2015-01-06	TripsPerformed	Count	LOG	496.00	472.00
2015-11-10	TripsPerformed	Count	KE3	2.00	0.00
2014-11-10	TripsPerformed	Count	BR7	2.00	2.00
2014-12-15	TripsPerformed	Count	FAC	2.00	0.00
2014-12-22	TripsPerformed	Count	SR3	2.00	2.00
2015-09-24	TripsPerformed	Count	CDS	7.00	5.00
2015-01-08	TripsPerformed	Count	MID	15.00	14.00
2014-12-08	TripsPerformed	Count	FAC	1.00	1.00
2014-11-12	TripsPerformed	Count	MID	28.00	28.00
2014-12-08	TripsPerformed	Count	PVT	17.00	15.00
2015-02-25	TripsPerformed	Count	LOG	485.00	404.00
2015-08-12	TripsPerformed	Count	CDS	8.00	7.00
2015-05-28	TripsPerformed	Count	KE3	2.00	0.00
2014-12-30	TripsPerformed	Count	LOG	453.00	431.00
2015-03-18	TripsPerformed	Count	PVT	26.00	14.00
2015-04-28	TripsPerformed	Count	ND2	1.00	1.00
2015-07-02	TripsPerformed	Count	SE2	8.00	8.00
2015-02-17	TripsPerformed	Count	KE3	2.00	0.00
2015-04-01	TripsPerformed	Count	PVT	21.00	5.00
2015-10-10	TripsPerformed	Count	SE2	2.00	0.00
2015-02-03	TripsPerformed	Count	PVT	22.00	11.00
2015-03-10	TripsPerformed	Count	SE2	6.00	4.00
2014-11-12	TripsPerformed	Count	BR7	4.00	4.00
2015-06-11	TripsPerformed	Count	KE3	6.00	0.00
2015-04-23	TripsPerformed	Count	HE6	2.00	2.00
2014-10-20	TripsPerformed	Count	PB1	2.00	2.00
2015-04-10	TripsPerformed	Count	SR3	2.00	0.00
2015-08-10	TripsPerformed	Count	LOG	439.00	434.00
2015-05-20	TripsPerformed	Count	SR1	2.00	0.00
2014-11-07	TripsPerformed	Count	SR3	2.00	2.00
2014-11-21	TripsPerformed	Count	PR1	2.00	2.00
2014-11-13	TripsPerformed	Count	ND2	2.00	2.00
2015-06-03	TripsPerformed	Count	FA1	2.00	2.00
2014-12-13	TripsPerformed	Count	FAC	1.00	0.00
2015-07-16	TripsPerformed	Count	SK2	2.00	2.00
2014-12-13	TripsPerformed	Count	PVT	6.00	6.00
2015-03-03	TripsPerformed	Count	CDR	10.00	10.00
2015-02-13	TripsPerformed	Count	PB1	2.00	2.00
2015-09-11	TripsPerformed	Count	SG2	2.00	0.00
2015-06-09	TripsPerformed	Count	TL1	2.00	0.00
2015-07-28	TripsPerformed	Count	WC1	2.00	2.00
2015-11-24	TripsPerformed	Count	CDR	44.00	0.00
2014-11-17	TripsPerformed	Count	LOG	376.00	16.00
2014-12-05	TripsPerformed	Count	MRC	1.00	1.00
2015-02-24	TripsPerformed	Count	SR3	4.00	4.00
2015-11-05	TripsPerformed	Count	WC1	2.00	0.00
2014-12-29	TripsPerformed	Count	SR3	5.00	5.00
2014-11-21	TripsPerformed	Count	SE2	6.00	6.00
2015-04-08	TripsPerformed	Count	SR3	2.00	0.00
2015-09-07	TripsPerformed	Count	PVT	6.00	5.00
2015-04-02	TripsPerformed	Count	CDS	22.00	22.00
2015-06-08	TripsPerformed	Count	HE6	2.00	0.00
2015-06-10	TripsPerformed	Count	LOG	551.00	508.00
2015-11-23	TripsPerformed	Count	LOG	372.00	369.00
2015-08-17	TripsPerformed	Count	SR3	2.00	2.00
2015-02-25	TripsPerformed	Count	BR7	2.00	2.00
2015-05-09	TripsPerformed	Count	WC1	4.00	4.00
2014-11-18	TripsPerformed	Count	ND2	2.00	2.00
2014-11-14	TripsPerformed	Count	SE2	4.00	4.00
2015-10-22	TripsPerformed	Count	SR3	2.00	0.00
2015-01-05	TripsPerformed	Count	LE2	3.00	0.00
2014-12-17	TripsPerformed	Count	MRC	1.00	1.00
2015-03-05	TripsPerformed	Count	CDR	12.00	12.00
2015-03-11	TripsPerformed	Count	BR7	2.00	2.00
2014-11-05	TripsPerformed	Count	PVT	6.00	6.00
2015-11-08	TripsPerformed	Count	LOG	30.00	26.00
2014-10-31	TripsPerformed	Count	PR1	1.00	1.00
2015-07-17	TripsPerformed	Count	PVT	23.00	13.00
2015-08-21	TripsPerformed	Count	CDR	3.00	3.00
2014-12-06	TripsPerformed	Count	LOG	65.00	17.00
2015-09-17	TripsPerformed	Count	CDS	5.00	3.00
2015-11-08	TripsPerformed	Count	PVT	1.00	0.00
2015-01-07	TripsPerformed	Count	SR5	2.00	0.00
2015-04-24	TripsPerformed	Count	WC1	2.00	2.00
2015-09-18	TripsPerformed	Count	BR3	2.00	0.00
2015-09-22	TripsPerformed	Count	PB1	4.00	0.00
2015-04-25	TripsPerformed	Count	PVT	5.00	1.00
2015-10-10	TripsPerformed	Count	KE3	1.00	0.00
2015-05-18	TripsPerformed	Count	SE2	7.00	7.00
2015-06-25	TripsPerformed	Count	SR3	6.00	6.00
2014-10-07	TripsPerformed	Count	RR6	2.00	2.00
2015-05-14	TripsPerformed	Count	PB1	2.00	2.00
2015-05-28	TripsPerformed	Count	MR5	4.00	4.00
2015-06-22	TripsPerformed	Count	ND2	2.00	2.00
2015-09-23	TripsPerformed	Count	CDR	32.00	9.00
2015-03-03	TripsPerformed	Count	SR3	4.00	4.00
